supaddress_id,country,city,street,postcode
A-SUP-1350,China,Beijing,Mockingbird,T1 7BE
A-SUP-5189,United Kingdom,Edinburgh,Manufacturers,48326
A-SUP-0731,United States,Chicago,Meadow Valley,6335
A-SUP-5990,United Kingdom,Nottingham,Red Cloud,W1 1SX
A-SUP-9881,United States,San Antonio,Vermont,32-541
A-SUP-2306,Spain,Barcelona,Michigan,ED8 5GY
A-SUP-2177,Germany,Frankfurt,Old Shore,500 02
A-SUP-5540,United Kingdom,Liverpool,Mcbride,V69 7CZ
A-SUP-7592,Northern Ireland,Bangor,Dottie,7521
A-SUP-4366,United Kingdom,Birmingham,Park Meadow,U8 8CV
A-SUP-5688,China,Chongqing,Kinsman,24-220
A-SUP-1146,United States,San Diego,1st,IY6 2MC
A-SUP-0230,Italy,Bologna,Dottie,96330-000
A-SUP-3534,United States,San Diego,Loomis,JF7 4PD
A-SUP-1418,France,Paris,Grim,MI4 8ZD
A-SUP-9951,China,Shanghai,Hoard,Q1 8NP
A-SUP-2926,United States,San Antonio,Upham,EQ69 1WW
A-SUP-9436,United Kingdom,Cardiff,Columbus,GS3 7XX
A-SUP-8748,Italy,Bari,Service,Q6 4SL
A-SUP-3257,Italy,Rome,Hintze,80241
A-SUP-0814,United Kingdom,Reading,Moulton,PY82 5BH
A-SUP-0486,United Kingdom,Belfast,Sheridan,MV7 2HU
A-SUP-0734,United States,San Antonio,Coolidge,696 65
A-SUP-1508,United States,Houston,Westport,43506
A-SUP-0800,United Kingdom,Edinburgh,David,Z4 1VM
A-SUP-4951,United States,Los Angeles,Menomonie,509 01
A-SUP-5567,Netherlands,Breda,Walton,BT82 3WO
A-SUP-4272,United States,Philadelphia,Lighthouse Bay,Q2 0RE
A-SUP-9284,China,Shanghai,Kinsman,155150
A-SUP-8387,Spain,Barcelona,Vidon,E75 7XE
A-SUP-8237,China,Shanghai,Gerald,X5 7WV
A-SUP-1901,United States,Phoenix,Cottonwood,CK50 0NI
A-SUP-8040,France,Strasbourg,Schiller,763-0231
A-SUP-1693,Germany,Cologne,Beilfuss,76000
A-SUP-3954,Spain,Madrid,Holy Cross,9241
A-SUP-8344,Japan,Kobe,David,27150
A-SUP-9865,United Kingdom,Birmingham,Hagan,D47 5KN
A-SUP-3773,United States,San Antonio,Meadow Valley,P68 4CP
A-SUP-0910,United States,Los Angeles,Blaine,D58 9DA
A-SUP-6460,United Kingdom,Leeds,Rigney,RP1 8GU
A-SUP-7754,United States,Dallas,Hallows,1556
A-SUP-4487,United Kingdom,Southampton,Cascade,2504
A-SUP-9734,United States,Houston,Sheridan,S10 0AI
A-SUP-9360,United Kingdom,London,Scott,740
A-SUP-7699,United States,Chicago,182520,J1 1TQ
A-SUP-8346,China,Chengdu,3rd,1293
A-SUP-1554,United States,Los Angeles,Sommers,47-240
A-SUP-8949,United Kingdom,Sheffield,American,6150-405
A-SUP-2437,United States,Philadelphia,Union,87-201
A-SUP-9871,United Kingdom,Liverpool,Elgar,VI9 3MW
